Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
Tompkins Consolidated Area Transit,Ithaca,NY,2145,20145,Private-Non-Profit Corporation,Full Reporter,"53,661 ",60,MB,DO,42,,$2.31 ,,0.24 ,,$138.55 ,,14.5 ,,$9.53 ,,$3.16 ,,,"$3,364,328 ",,"$13,887,166 ",,"1,457,234 ",,"100,234 ",,"4,400,847 ",,"1,269,716 ",,No,,,,,,
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,6024,60024,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"298,317 ",60,MB,DO,41,,$0.71 ,,0.08 ,,$109.12 ,,11.9 ,,$9.18 ,,$1.47 ,,,"$893,222 ",,"$11,511,412 ",,"1,254,208 ",,"105,494 ",,"7,817,345 ",,"1,629,558 ",,No,,,,,,
Greater Bridgeport Transit Authority,Bridgeport,CT,1050,10050,Independent Public Agency or Authority of Transit Service,Full Reporter,"923,311 ",60,MB,DO,39,,$0.91 ,,0.21 ,,$126.41 ,,29.1 ,,$4.35 ,,$1.39 ,,,"$3,797,952 ",,"$18,048,523 ",,"4,153,733 ",,"142,779 ",,"13,001,184 ",,"1,566,294 ",,No,,,,,,
Greater Bridgeport Transit Authority,Bridgeport,CT,1050,10050,Independent Public Agency or Authority of Transit Service,Full Reporter,"923,311 ",60,DR,PT,21,,$2.63 ,,0.08 ,,$83.38 ,,2.4 ,,$34.61 ,,$5.64 ,,,"$210,288 ",,"$2,770,581 ",,"80,047 ",,"33,230 ",,"491,596 ",,"414,741 ",,No,,,,,,
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,6024,60024,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"298,317 ",60,DR,DO,19,,$2.11 ,,0.08 ,,$51.02 ,,1.8 ,,$27.58 ,,$3.33 ,,,"$109,678 ",,"$1,436,049 ",,"52,062 ",,"28,148 ",,"431,155 ",,"485,813 ",,No,,,,,,
Tompkins Consolidated Area Transit,Ithaca,NY,2145,20145,Private-Non-Profit Corporation,Full Reporter,"53,661 ",60,DR,PT,18,,$0.94 ,,0.03 ,,$50.50 ,,1.8 ,,$27.70 ,,$3.03 ,,,"$31,307 ",,"$918,584 ",,"33,159 ",,"18,189 ",,"303,372 ",,"290,318 ",,No,,,,,,
"Lakeland Bus Lines, Inc.",Dover,NJ,2163,20163,Private-For-Profit Corporation,Full Reporter,"18,351,295 ",59,CB,DO,59,,$10.38 ,,0.40 ,,$287.75 ,Q,11.1 ,Q,$26.03 ,,$0.76 ,Q,,"$3,988,183 ",,"$10,002,602 ",,"384,265 ",,"34,762 ",Q,"13,203,423 ",Q,"623,201 ",,Yes,,,,,,
"Mayor and City Council Town of Ocean City, dba: Ocean City Transportation",Ocean City,MD,3R03-026,3R03-30155,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 ,59,MB,DO,57,,$1.07 ,,0.39 ,,$75.38 ,,27.7 ,,$2.72 ,,$0.00 ,,,"$1,717,414 ",,"$4,373,729 ",,"1,605,458 ",,"58,025 ",,0 ,,"584,219 ",,No,,,,,,
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,9233,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,"135,267 ",59,DR,PT,5,,$0.10 ,,0.00 ,,$54.41 ,,2.5 ,,$22.13 ,,$2.65 ,,,"$1,094 ",,"$230,957 ",,"10,438 ",,"4,245 ",,"87,298 ",,"82,774 ",,No,,,,,,
"City of Wichita, dba: Wichita Transit",Wichita,KS,7015,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"472,870 ",59,MB,DO,39,,$1.19 ,,0.09 ,,$85.48 ,,6.2 ,,$13.84 ,,$2.34 ,,,"$913,010 ",,"$10,660,108 ",,"770,461 ",,"124,708 ",,"4,557,233 ",,"1,698,810 ",,No,,,,,,
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,9233,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,"135,267 ",59,VP,PT,35,,$5.82 ,,1.58 ,,$23.53 ,,6.4 ,,$3.68 ,,$0.13 ,,,"$398,013 ",,"$251,682 ",,"68,423 ",,"10,698 ",,"1,911,685 ",,"394,412 ",,No,,,,,,
"City of Wichita, dba: Wichita Transit",Wichita,KS,7015,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"472,870 ",59,DR,DO,20,,$2.93 ,,0.09 ,,$74.58 ,,2.2 ,,$33.16 ,,$3.59 ,,,"$175,560 ",,"$1,983,771 ",,"59,832 ",,"26,601 ",,"551,877 ",,"538,714 ",,No,,,,,,
Clallam Transit System,Port Angeles,WA,0R03-009,0R03-00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,59,MB,DO,20,,$1.01 ,,0.05 ,,$161.70 ,,8.7 ,,$18.52 ,,$0.00 ,,,"$428,241 ",,"$7,857,909 ",,"424,336 ",,"48,597 ",,0 ,,"1,045,523 ",,No,,,,,,
Clallam Transit System,Port Angeles,WA,0R03-009,0R03-00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,59,DR,DO,20,,$0.80 ,,0.01 ,,$128.78 ,,1.5 ,,$84.22 ,,$0.00 ,,,"$22,171 ",,"$2,329,192 ",,"27,655 ",,"18,086 ",,0 ,,"198,648 ",,No,,,,,,
"Mayor and City Council Town of Ocean City, dba: Ocean City Transportation",Ocean City,MD,3R03-026,3R03-30155,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 ,59,DR,DO,2,,$0.17 ,,0.01 ,,$46.51 ,,1.5 ,,$31.86 ,,$0.00 ,,,$902 ,,"$170,938 ",,"5,365 ",,"3,675 ",,0 ,,"33,434 ",,No,,,,,,
Clallam Transit System,Port Angeles,WA,0R03-009,0R03-00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,59,VP,DO,19,,$4.17 ,,0.18 ,,$83.91 ,,3.6 ,,$23.03 ,,$0.00 ,,,"$223,722 ",,"$1,236,400 ",,"53,694 ",,"14,734 ",,0 ,,"442,031 ",,No,,,,,,
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,9233,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,"135,267 ",59,MB,PT,19,,$0.86 ,,0.07 ,,$140.55 ,,11.8 ,,$11.86 ,,$1.20 ,,,"$325,094 ",,"$4,462,015 ",,"376,181 ",,"31,746 ",,"3,721,953 ",,"678,970 ",,No,,,,,,
Western Contra Costa Transit Authority,Pinole,CA,9159,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",58,DR,PT,9,,$1.29 ,,0.02 ,,$119.41 ,,2.2 ,,$55.35 ,,$6.61 ,,,"$35,862 ",,"$1,539,470 ",,"27,815 ",,"12,892 ",,"232,909 ",,"172,269 ",,No,,,,,,
Paducah Transit Authority,Paducah,KY,4R04-012,4R04-41013,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,58,MB,DO,9,,$0.64 ,,0.11 ,,$54.89 ,,9.5 ,,$5.77 ,,$0.00 ,,,"$86,901 ",,"$782,630 ",,"135,725 ",,"14,259 ",,0 ,,"184,270 ",,No,,,,,,
Western Contra Costa Transit Authority,Pinole,CA,9159,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",58,CB,PT,9,,$4.02 ,,0.53 ,,$125.37 ,,16.6 ,,$7.57 ,,$0.27 ,,,"$1,096,356 ",,"$2,065,143 ",,"272,902 ",,"16,472 ",,"7,747,688 ",,"444,611 ",,No,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,6111,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,"741,318 ",58,CB,PT,6,,$0.57 ,,0.01 ,,$160.63 ,,3.5 ,,$45.85 ,,$2.27 ,,,"$20,122 ",,"$1,628,513 ",,"35,521 ",,"10,138 ",,"717,165 ",,"248,364 ",,No,,,,,,
"Rolling Plains Management Corporation / SHARP Lines, dba: SHARP Lines",Crowell,TX,6R05-008,6R05-60143,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,0 ,58,DR,DO,58,,$3.85 ,,0.26 ,,$53.80 ,,3.7 ,,$14.70 ,,$0.00 ,,,"$552,115 ",,"$2,107,081 ",,"143,315 ",,"39,166 ",,0 ,,"784,298 ",,No,,,,,,
North Iowa Area Council of Governments,Mason City,IA,7R01-002,7R01-70185,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,58,DR,DO,58,,$0.65 ,,0.04 ,,$51.15 ,,3.3 ,,$15.28 ,,$0.00 ,,,"$145,185 ",,"$3,438,126 ",,"225,011 ",,"67,223 ",,0 ,,"875,580 ",,No,,,,,,
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,2204,20204,Private-Non-Profit Corporation,Full Reporter,"5,441,567 ",58,DR,DO,58,,$5.02 ,,0.08 ,,$111.14 ,,1.8 ,,$60.41 ,,$8.29 ,Q,,"$262,563 ",,"$3,158,578 ",,"52,290 ",,"28,421 ",,"380,789 ",Q,"338,768 ",,Yes,,,,,,
Southwest Human Resource Agency,Henderson,TN,4R08-008,4R08-41151,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,58,DR,DO,58,,$1.25 ,,0.02 ,,$70.94 ,,1.4 ,,$49.91 ,,$0.00 ,,,"$126,794 ",,"$5,083,010 ",,"101,839 ",,"71,651 ",,0 ,,"1,694,195 ",,No,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,6111,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,"741,318 ",58,MB,DO,5,,$0.30 ,,0.01 ,,$62.56 ,,1.8 ,,$34.31 ,,$2.94 ,,,"$4,734 ",,"$546,061 ",,"15,915 ",,"8,728 ",,"185,852 ",,"161,627 ",,No,,,,,,
Paducah Transit Authority,Paducah,KY,4R04-012,4R04-41013,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,58,DR,DO,49,,$1.52 ,,0.05 ,,$57.65 ,,1.8 ,,$31.86 ,,$0.00 ,,,"$122,177 ",,"$2,560,673 ",,"80,369 ",,"44,419 ",,0 ,,"776,004 ",,No,,,,,,
Western Contra Costa Transit Authority,Pinole,CA,9159,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",58,MB,PT,40,,$1.12 ,,0.09 ,,$117.88 ,,9.2 ,,$12.88 ,,$2.05 ,,,"$729,503 ",,"$8,413,435 ",,"653,355 ",,"71,371 ",,"4,096,536 ",,"1,177,337 ",,No,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,6111,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,"741,318 ",58,CR,PT,25,,$2.60 ,,0.05 ,,"$1,163.56 ",,20.3 ,,$57.20 ,,$1.23 ,,,"$1,344,128 ",,"$29,519,620 ",,"516,082 ",,"25,370 ",,"24,052,625 ",,"948,235 ",,No,,,,,,
"City of Yakima, dba: Yakima Transit",Yakima,WA,0006,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"129,534 ",58,DR,PT,24,,$2.03 ,,0.10 ,,$41.65 ,,2.1 ,,$19.61 ,,$6.36 ,,,"$74,970 ",,"$723,776 ",,"36,910 ",,"17,377 ",,"113,830 ",,"176,401 ",,No,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,6111,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,"741,318 ",58,DR,DO,22,,$0.35 ,,0.01 ,,$124.17 ,,2.4 ,,$52.63 ,,$6.90 ,,,"$17,584 ",,"$2,626,403 ",,"49,900 ",,"21,151 ",,"380,782 ",,"331,586 ",,No,,,,,,
"City of Yakima, dba: Yakima Transit",Yakima,WA,0006,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"129,534 ",58,MB,DO,20,,$0.55 ,,0.05 ,,$109.52 ,,8.9 ,,$12.25 ,,$2.92 ,,,"$297,699 ",,"$6,576,229 ",,"536,746 ",,"60,045 ",,"2,252,508 ",,"703,036 ",,No,,,,,,
"City of Yakima, dba: Yakima Transit",Yakima,WA,0006,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"129,534 ",58,CB,PT,2,,$14.43 ,,0.36 ,,$114.42 ,,2.8 ,,$40.53 ,,$1.22 ,,,"$167,154 ",,"$469,343 ",,"11,581 ",,"4,102 ",,"383,801 ",,"142,749 ",,No,,,,,,
"City of Yakima, dba: Yakima Transit",Yakima,WA,0006,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"129,534 ",58,VP,DO,12,,$5.25 ,,0.22 ,,$131.96 ,,5.5 ,,$23.86 ,,$0.48 ,,,"$34,430 ",,"$156,371 ",,"6,554 ",,"1,185 ",,"323,014 ",,"53,360 ",,No,,,,,,
DeCamp Bus Lines,Montclair,NJ,2161,20161,Private-For-Profit Corporation,Full Reporter,"18,351,295 ",57,CB,DO,57,,$7.16 ,,0.45 ,,$193.94 ,,12.3 ,,$15.83 ,,$0.97 ,,,"$2,625,658 ",,"$5,805,008 ",,"366,771 ",,"29,932 ",,"6,009,873 ",,"449,076 ",,No,,,,,,
Greater New Haven Transit District,Hamden,CT,1049,10049,Independent Public Agency or Authority of Transit Service,Full Reporter,"562,839 ",57,DR,DO,57,,$0.74 ,,0.01 ,,$87.57 ,,1.6 ,,$54.62 ,,$8.02 ,,,"$142,760 ",,"$10,588,306 ",,"193,867 ",,"120,915 ",,"1,321,014 ",,"1,581,912 ",,No,,,,,,
Fulton County Transit Authority,Fulton,KY,4R04-004,4R04-41179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 ,57,DR,DO,57,,$2.85 ,,0.10 ,,$30.73 ,,1.1 ,,$28.24 ,,$0.00 ,,,"$249,780 ",,"$2,479,341 ",,"87,794 ",,"80,690 ",,0 ,,"1,502,018 ",,No,,,,,,
"Trans-Bridge Lines, Inc.",Bethlehem,PA,2169,20169,Private-For-Profit Corporation,Full Reporter,"18,351,295 ",56,CB,DO,56,,$21.07 ,,0.70 ,,$305.30 ,Q,10.1 ,Q,$30.26 ,,$0.46 ,,,"$7,370,132 ",,"$10,584,297 ",,"349,831 ",,"34,669 ",Q,"22,946,990 ",,"1,439,836 ",Q,Yes,,,,,,
10-15 Regional Transit Agency,Ottumwa,IA,7R01-015,7R01-70242,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,56,DR,DO,56,,$0.87 ,,0.05 ,,$39.03 ,,2.0 ,,$19.08 ,,$0.00 ,,,"$141,392 ",,"$3,102,458 ",,"162,620 ",,"79,481 ",,0 ,,"1,640,474 ",,No,,,,,,
Western Reserve Transit Authority,Youngstown,OH,5024,50024,Independent Public Agency or Authority of Transit Service,Full Reporter,"387,550 ",56,MB,DO,35,,$0.23 ,,0.02 ,,$110.81 ,,9.0 ,,$12.37 ,,$3.00 ,,,"$200,795 ",,"$10,943,474 ",,"884,557 ",,"98,756 ",,"3,644,375 ",,"1,409,550 ",,No,,,,,,
Western Reserve Transit Authority,Youngstown,OH,5024,50024,Independent Public Agency or Authority of Transit Service,Full Reporter,"387,550 ",56,DR,DO,21,,$0.47 ,,0.01 ,,$67.97 ,,1.3 ,,$53.05 ,,$6.61 ,,,"$17,826 ",,"$2,001,335 ",,"37,722 ",,"29,444 ",,"302,908 ",,"327,199 ",,No,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,2003,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"158,084 ",55,DR,DO,7,,$1.09 ,,0.01 ,,$123.86 ,,1.5 ,,$84.48 ,,$10.79 ,,,"$13,581 ",,"$1,050,126 ",,"12,431 ",,"8,478 ",,"97,304 ",,"115,932 ",,No,,,,,,
Central Texas Rural Transit District,Coleman,TX,6R05-005,6R05-60262,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,55,DR,DO,55,,$8.82 ,,0.21 ,,$84.33 ,,2.0 ,,$43.02 ,,$0.00 ,,,"$742,863 ",,"$3,624,579 ",,"84,256 ",,"42,982 ",,0 ,,"1,089,657 ",,No,,,,,,
Regional Transit Authority/RIDES,Spencer,IA,7R01-003,7R01-70240,Private-Non-Profit Corporation,Rural Reporter,0 ,55,DR,DO,55,,$10.33 ,,0.43 ,,$52.77 ,,2.2 ,,$23.92 ,,$0.00 ,,,"$1,406,096 ",,"$3,255,528 ",,"136,128 ",,"61,696 ",,0 ,,"768,596 ",,No,,,,,,
"Region XII Council of Governments/WITS, dba: Western Iowa Transit",Carroll,IA,7R01-012,7R01-70224,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,55,DR,DO,55,,$3.96 ,,0.21 ,,$68.34 ,,3.6 ,,$19.11 ,,$0.00 ,,,"$498,143 ",,"$2,400,963 ",,"125,661 ",,"35,134 ",,0 ,,"820,624 ",,No,,,,,,
"Alamo Area Council of Governments, dba: Alamo Regional Transit - ART",San Antonio,TX,6130,60130,"MPO, COG or Other Planning Agency",Full Reporter,"1,758,210 ",55,DR,DO,55,,$3.09 ,,0.07 ,,$71.25 ,,1.6 ,,$45.28 ,,$4.04 ,,,"$331,604 ",,"$4,855,303 ",,"107,222 ",,"68,140 ",,"1,201,766 ",,"1,083,321 ",,No,,,,,,
San Bernardino County Transportation Authority,San Bernardino,CA,,90302,"MPO, COG or Other Planning Agency",Full Reporter,"1,932,666 ",55,VP,PT,55,,$5.88 ,,0.84 ,,$31.10 ,,4.5 ,,$6.96 ,,$0.17 ,,,"$644,666 ",,"$763,306 ",,"109,728 ",,"24,545 ",,"4,468,930 ",,"960,841 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",55,DR,DO,44,,$6.42 ,,0.35 ,,$65.96 ,,3.6 ,,$18.31 ,,$2.20 ,,,"$550,946 ",,"$1,570,528 ",,"85,794 ",,"23,812 ",,"713,034 ",,"349,770 ",,No,,,,,,
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"124,064 ",55,MB,DO,39,,$1.74 ,,0.22 ,,$105.96 ,,13.2 ,,$8.02 ,,$2.52 ,,,"$1,354,298 ",,"$6,239,968 ",,"777,818 ",,"58,890 ",,"2,473,461 ",,"854,155 ",,No,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,2003,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"158,084 ",55,MB,DO,38,,$1.48 ,,0.17 ,,$91.90 ,,10.6 ,,$8.66 ,,$2.44 ,,,"$1,490,243 ",,"$8,746,304 ",,"1,010,042 ",,"95,171 ",,"3,585,649 ",,"1,158,357 ",,No,,,,,,
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"124,064 ",55,DR,PT,15,,$2.51 ,,0.14 ,,$32.00 ,,1.9 ,,$17.29 ,,$2.98 ,,,"$49,154 ",,"$339,197 ",,"19,614 ",,"10,601 ",,"113,954 ",,"140,033 ",,No,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,2003,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"158,084 ",55,DR,PT,10,,$2.50 ,,0.05 ,,$78.86 ,,1.7 ,,$45.91 ,,$8.00 ,,,"$55,861 ",,"$1,027,833 ",,"22,388 ",,"13,034 ",,"128,465 ",,"144,123 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",55,DR,PT,10,,$1.29 ,,0.06 ,,$51.38 ,,2.4 ,,$21.74 ,,$3.84 ,,,"$56,422 ",,"$954,492 ",,"43,895 ",,"18,577 ",,"248,594 ",,"248,914 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",55,MB,PT,1,,$0.15 ,,0.01 ,,$63.02 ,,3.0 ,,$20.83 ,,$3.19 ,,,"$1,023 ",,"$144,498 ",,"6,938 ",,"2,293 ",,"45,330 ",,"42,383 ",,No,,,,,,
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"124,064 ",55,SR,DO,1,,$0.73 ,,0.01 ,,$524.56 ,,6.4 ,,$81.86 ,,$49.61 ,W,,"$2,825 ",,"$314,736 ",,"3,845 ",,600 ,,"6,344 ",W,"4,511 ",,Yes,,,,,,
Kennebec Valley Community Action Program,Waterville,ME,1R03-005,1R03-10155,Private-Non-Profit Corporation,Rural Reporter,0 ,54,MB,DO,6,,$1.21 ,,0.04 ,,$107.75 ,,3.4 ,,$31.80 ,,$0.00 ,,,"$56,744 ",,"$1,491,230 ",,"46,896 ",,"13,840 ",,0 ,,"207,714 ",,No,,,,,,
"Wake County, dba: GoWake Access",Raleigh,NC,4R06-094,40222,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"884,891 ",54,DR,PT,54,,$1.26 ,,0.04 ,,$48.59 ,,1.5 ,,$31.36 ,,$2.36 ,,,"$226,123 ",,"$5,648,886 ",,"180,137 ",,"116,259 ",,"2,389,481 ",,"2,100,380 ",,No,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,5092,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"107,677 ",54,DR,PT,5,,$1.32 ,,0.04 ,,$57.41 ,,1.7 ,,$33.03 ,,$5.72 ,,,"$20,878 ",,"$522,840 ",,"15,831 ",,"9,107 ",,"91,366 ",,"127,663 ",,No,,,,,,
Kennebec Valley Community Action Program,Waterville,ME,1R03-005,1R03-10155,Private-Non-Profit Corporation,Rural Reporter,0 ,54,DR,DO,48,,$0.02 ,,0.00 ,,$136.30 ,,1.3 ,,$107.07 ,,$0.00 ,,,"$1,336 ",,"$7,447,844 ",,"69,563 ",,"54,642 ",,0 ,,"752,845 ",,No,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,5092,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"107,677 ",54,MB,PT,48,,$1.22 ,,0.12 ,,$99.92 ,,9.6 ,,$10.45 ,,$2.85 ,,,"$1,069,066 ",,"$9,167,359 ",,"876,908 ",,"91,743 ",,"3,219,580 ",,"1,322,999 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,CB,DO,4,,$1.36 ,,0.05 ,,$188.52 ,,6.3 ,,$29.83 ,,$1.09 ,,,"$33,072 ",,"$724,310 ",,"24,280 ",,"3,842 ",,"666,335 ",,"112,717 ",,No,,,,,,
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,3007,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"210,111 ",54,MB,DO,37,,$0.79 ,,0.16 ,,$70.68 ,,14.0 ,,$5.05 ,,$0.89 ,,,"$1,278,299 ",,"$8,143,127 ",,"1,613,442 ",,"115,210 ",,"9,164,530 ",,"1,782,712 ",,No,,,,,,
Concho Valley Transit District,San Angelo,TX,6102,60102,Independent Public Agency or Authority of Transit Service,Full Reporter,"92,984 ",54,DR,DO,34,,$0.79 ,,0.02 ,,$59.74 ,,1.8 ,,$33.16 ,,$1.76 ,,,"$49,214 ",,"$2,072,562 ",,"62,509 ",,"34,692 ",,"1,178,995 ",,"653,892 ",,No,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,40094,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ",54,HR,PT,32,,$1.38 ,,0.07 ,,$917.70 ,,49.0 ,,$18.75 ,,$3.95 ,,,"$4,887,009 ",,"$66,199,173 ",,"3,531,150 ",,"72,136 ",,"16,751,299 ",,"1,315,913 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,MB,DO,27,,$0.61 ,,0.06 ,,$109.52 ,,11.4 ,,$9.60 ,,$3.12 ,,,"$588,343 ",,"$9,202,096 ",,"958,648 ",,"84,023 ",,"2,946,005 ",,"1,115,933 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,DR,DO,23,,$1.46 ,,0.03 ,,$123.25 ,,2.7 ,,$44.86 ,,$10.46 ,,,"$143,955 ",,"$4,427,107 ",,"98,687 ",,"35,919 ",,"423,220 ",,"453,979 ",,No,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,40094,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ",54,MB,PT,21,,$0.45 ,,0.06 ,,$151.85 ,,20.4 ,,$7.46 ,,$2.10 ,,,"$464,198 ",,"$7,701,637 ",,"1,032,480 ",,"50,719 ",,"3,665,304 ",,"532,994 ",,No,,,,,,
Concho Valley Transit District,San Angelo,TX,6102,60102,Independent Public Agency or Authority of Transit Service,Full Reporter,"92,984 ",54,MB,DO,20,,$0.26 ,,0.05 ,,$44.03 ,,8.3 ,,$5.33 ,,$0.63 ,,,"$49,614 ",,"$1,034,677 ",,"194,301 ",,"23,498 ",,"1,640,617 ",,"402,537 ",,No,,,,,,
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,3007,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"210,111 ",54,DR,PT,17,,$2.40 ,,0.07 ,,$70.36 ,,2.1 ,,$33.05 ,,$3.48 ,,,"$158,370 ",,"$2,183,735 ",,"66,081 ",,"31,035 ",,"627,770 ",,"563,743 ",,No,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,5092,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"107,677 ",54,DR,TX,1,,$1.87 ,,0.10 ,,$75.21 ,,4.0 ,,$18.89 ,,$3.77 ,,,"$3,684 ",,"$37,153 ",,"1,967 ",,494 ,,"9,846 ",,"9,814 ",,No,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,40094,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ",54,DR,PT,1,,$1.43 ,,0.02 ,,$353.84 ,,3.8 ,,$93.17 ,,$34.50 ,,,$511 ,,"$33,261 ",,357 ,,94 ,,964 ,,762 ,,No,,,,,,
"West Virginia University - Morgantown Personal Rapid Transit, dba: Morgantown Personal Rapid Transit",Morgantown,WV,3107,30107,University,Full Reporter,"70,350 ",53,MG,DO,53,,$4.70 ,,1.51 ,,$51.31 ,,16.5 ,,$3.11 ,,$1.64 ,W,,"$6,977,405 ",,"$4,612,868 ",,"1,484,262 ",,"89,896 ",,"2,816,500 ",W,"488,998 ",,Yes,,,,,,
